Category,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Scripture_Reference,Explanation
Parables,intermediate,What happened to the rich fool in the parable?,God took his life that night,He lost all his wealth,He became poor,He repented,God took his life that night,Luke 12:20,"God said 'You fool! This very night your life will be demanded from you.'"
Parables,intermediate,In the parable of the Pharisee and tax collector, who went home justified?,The tax collector,The Pharisee,Both of them,Neither of them,The tax collector,Luke 18:14,"The tax collector who humbled himself went home justified rather than the Pharisee."
Parables,intermediate,What did the persistent widow seek from the judge?,Justice,Money,Protection,Freedom,Justice,Luke 18:3,"The widow kept coming to the judge saying 'Grant me justice against my adversary.'"
Parables,intermediate,What is the main point of the parable of the hidden treasure?,The kingdom is worth everything,Save for the future,Work hard,Be honest,The kingdom is worth everything,Matthew 13:44,"When a man found treasure hidden in a field, he sold all he had to buy that field."
Parables,expert,In the parable of the shrewd manager, what did Jesus commend?,His shrewdness,His honesty,His generosity,His repentance,His shrewdness,Luke 16:8,"The master commended the dishonest manager because he had acted shrewdly."
Parables,expert,What does the mustard seed parable teach about the kingdom of God?,It starts small but grows large,Faith is small,Small things matter,Patience is needed,It starts small but grows large,Matthew 13:31-32,"Though it is the smallest of seeds, it grows into the largest of garden plants."
Parables,expert,In the parable of the laborers in the vineyard, when were the last workers hired?,The eleventh hour,The sixth hour,The third hour,Noon,The eleventh hour,Matthew 20:6,"About five in the afternoon (eleventh hour) he went out and found still others standing around."
Parables,expert,What does the yeast in the parable represent about the kingdom?,It permeates everything,It makes things rise,It's hidden,It's powerful,It permeates everything,Matthew 13:33,"The kingdom of heaven is like yeast that a woman mixed into about sixty pounds of flour until it worked all through the dough."
Parables,expert,In the parable of the rich man and Lazarus, where was the rich man?,Hades,Hell,Sheol,Torment,Hades,Luke 16:23,"In Hades, where he was in torment, he looked up and saw Abraham far away with Lazarus by his side."
Parables,scholar,What was the soil like in the parable of the sower that produced a crop?,Good soil,Rocky soil,Shallow soil,Deep soil,Good soil,Matthew 13:23,"The seed falling on good soil refers to someone who hears and understands producing a crop."
Parables,scholar,In the parable of the net, what happens to the bad fish?,Thrown away,Sold,Released,Cooked,Thrown away,Matthew 13:48,"They collected the good fish in baskets but threw the bad away."
Themes,beginner,What is the greatest commandment according to Jesus?,Love God with all your heart,Do not murder,Honor your parents,Keep the Sabbath,Love God with all your heart,Matthew 22:37-38,"Love the Lord your God with all your heart, soul, and mind. This is the first and greatest commandment."
Themes,beginner,What does the Bible say God is?,Love,Light,Power,Wisdom,Love,1 John 4:8,"Whoever does not love does not know God, because God is love."
Themes,beginner,What must you do to be saved according to Acts?,Believe in Jesus,Be baptized,Do good works,Keep the law,Believe in Jesus,Acts 16:31,"They replied 'Believe in the Lord Jesus and you will be saved.'"
Themes,beginner,What is faith according to Hebrews 11?,Confidence in what we hope for,Believing in God,Trusting Scripture,Following Jesus,Confidence in what we hope for,Hebrews 11:1,"Faith is confidence in what we hope for and assurance about what we do not see."
Themes,beginner,What did Jesus say is the way to the Father?,Jesus Himself,Prayer,Good works,The Church,Jesus Himself,John 14:6,"Jesus answered 'I am the way and the truth and the life. No one comes to the Father except through me.'"
Themes,intermediate,What theme is central to the book of Ecclesiastes?,The meaninglessness of life without God,God's judgment,The fear of the Lord,Wisdom literature,The meaninglessness of life without God,Ecclesiastes 1:2,"'Meaningless! Meaningless!' says the Teacher. 'Everything is meaningless!'"
Themes,intermediate,What does James say about faith without deeds?,It is dead,It is weak,It is incomplete,It is childish,It is dead,James 2:26,"As the body without the spirit is dead, so faith without deeds is dead."
Themes,intermediate,According to Romans, what is the wages of sin?,Death,Hell,Separation from God,Eternal punishment,Death,Romans 6:23,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord."
Themes,intermediate,What does Paul say we are saved by in Ephesians?,Grace through faith,Good works,Baptism,Church membership,Grace through faith,Ephesians 2:8-9,"For it is by grace you have been saved through faith, not by works."
Themes,intermediate,What is the armor of God's purpose according to Ephesians?,To stand against the devil,To fight sin,To win souls,To grow in faith,To stand against the devil,Ephesians 6:11,"Put on the full armor of God so that you can take your stand against the devil's schemes."
Themes,intermediate,What does 1 Corinthians 13 say is the greatest virtue?,Love,Faith,Hope,Patience,Love,1 Corinthians 13:13,"And now these three remain: faith, hope and love. But the greatest of these is love."
Themes,intermediate,What theme dominates the book of Ruth?,Loyal love and redemption,God's provision,Faith in trials,Obedience to law,Loyal love and redemption,Ruth 1:16,"Ruth's loyal love (hesed) and Boaz as kinsman-redeemer illustrate God's redemptive love."
Themes,intermediate,According to Peter, what covers a multitude of sins?,Love,Prayer,Confession,Sacrifice,Love,1 Peter 4:8,"Above all, love each other deeply, because love covers over a multitude of sins."
Themes,expert,What does Paul mean by 'already but not yet' in his theology?,Kingdom present but not fully realized,Saved but still sinning,Believers but still learning,Alive but will die,Kingdom present but not fully realized,1 Corinthians 15:24-28,"The kingdom has come in Christ but awaits final consummation at His return."
Themes,expert,What is the theological significance of the tearing of the temple veil?,Direct access to God,End of temple worship,God's judgment,New covenant,Direct access to God,Matthew 27:51; Hebrews 10:19-20,"The veil tearing symbolized believers' direct access to God through Christ's sacrifice."
Themes,expert,What does Paul mean by being 'in Christ'?,Union with Christ,Following Christ,Believing in Christ,Imitating Christ,Union with Christ,2 Corinthians 5:17,"Therefore if anyone is in Christ, the new creation has come. This refers to spiritual union."
Themes,expert,What is the concept of 'firstfruits' as applied to Christ's resurrection?,Guarantee of believers' resurrection,First to rise,Best offering,New beginning,Guarantee of believers' resurrection,1 Corinthians 15:20-23,"Christ has been raised as firstfruits of those who have fallen asleep, guaranteeing our resurrection."
Themes,expert,What does substitutionary atonement mean?,Christ died in our place,Christ defeated death,Christ paid a ransom,Christ conquered Satan,Christ died in our place,Isaiah 53:5-6; 2 Corinthians 5:21,"Christ bore our sins and took our punishment as our substitute."
Themes,scholar,What is the biblical concept of 'remnant' theology?,God preserves a faithful few,The saved minority,Jewish believers,End-times believers,God preserves a faithful few,Romans 11:5; Isaiah 10:20-22,"Throughout history God preserves a remnant who remain faithful to Him."
Themes,scholar,What does the 'already-not yet' tension refer to in inaugurated eschatology?,Kingdom initiated but awaits consummation,Saved but sanctifying,Living but dying,Justified but glorifying,Kingdom initiated but awaits consummation,Luke 17:21; Revelation 21:2,"The kingdom came with Christ's first coming but will be consummated at His return."
Theology,beginner,How many persons are in the Trinity?,Three,One,Two,Four,Three,Matthew 28:19,"Therefore go and make disciples baptizing them in the name of the Father, Son, and Holy Spirit."
Theology,beginner,What does omnipotent mean about God?,All-powerful,All-knowing,Everywhere present,Eternal,All-powerful,Revelation 19:6,"For our Lord God Almighty (omnipotent) reigns."
Theology,beginner,What is the doctrine of original sin?,Sin nature inherited from Adam,First sin committed,Sin at birth,Unforgivable sin,Sin nature inherited from Adam,Romans 5:12,"Sin entered the world through one man and death through sin, so death came to all people."
Theology,beginner,What does justification mean?,Being declared righteous,Being made holy,Being saved,Being forgiven,Being declared righteous,Romans 3:24,"All are justified freely by His grace through the redemption in Christ Jesus."
Theology,beginner,What is sanctification?,Process of being made holy,Being saved,Going to heaven,Being baptized,Process of being made holy,1 Thessalonians 4:3,"It is God's will that you should be sanctified (made holy)."
Theology,intermediate,What is the doctrine of imputation?,God credits Christ's righteousness to believers,God forgives sins,God saves souls,God transforms hearts,God credits Christ's righteousness to believers,2 Corinthians 5:21,"God made Him who had no sin to be sin for us so that we might become the righteousness of God."
Theology,intermediate,What does the doctrine of perseverance of the saints teach?,True believers cannot lose salvation,Saints persevere through trials,Believers must endure,Christians face persecution,True believers cannot lose salvation,John 10:28-29,"I give them eternal life and they shall never perish; no one can snatch them from my hand."
Theology,intermediate,What is the difference between justification and sanctification?,Justification is instant; sanctification is ongoing,Justification is salvation; sanctification is works,Justification is faith; sanctification is deeds,Justification is legal; sanctification is moral,Justification is instant; sanctification is ongoing,Romans 8:30; Philippians 2:12-13,"Justification is God's one-time legal declaration; sanctification is progressive transformation."
Theology,intermediate,What does the doctrine of the incarnation teach?,God became man in Jesus,God appeared as a man,Jesus was a prophet,Jesus was divine,God became man in Jesus,John 1:14,"The Word became flesh and made His dwelling among us."
Theology,intermediate,What is the doctrine of the immutability of God?,God does not change,God is eternal,God is powerful,God is sovereign,God does not change,Malachi 3:6; James 1:17,"I the Lord do not change. God does not change like shifting shadows."
Theology,intermediate,What is common grace?,God's goodness to all people,Saving grace,Special blessings,Grace given at communion,God's goodness to all people,Matthew 5:45,"He causes His sun to rise on the evil and the good, and sends rain on the righteous and unrighteous."
Theology,intermediate,What does the doctrine of total depravity teach?,Sin affects all aspects of humanity,Everyone is as bad as possible,No one can do good,All people are condemned,Sin affects all aspects of humanity,Romans 3:10-12,"There is no one righteous, not even one; no one who seeks God."
Theology,intermediate,What is the doctrine of election?,God chose who would be saved,People choose salvation,Everyone is elected,The church elects leaders,God chose who would be saved,Ephesians 1:4-5,"He chose us in Him before the creation of the world to be holy and blameless."
Theology,expert,What is the hypostatic union?,Jesus is fully God and fully man,Jesus has two natures,Jesus is divine,Jesus became human,Jesus is fully God and fully man,Colossians 2:9,"For in Christ all the fullness of the Deity lives in bodily form."
Theology,expert,What does monergism teach about salvation?,God alone brings about salvation,People cooperate with God,Both God and man work,Salvation requires effort,God alone brings about salvation,Ephesians 2:8-9; John 1:13,"Salvation is entirely God's work, not from human will or effort."
Theology,expert,What is the doctrine of limited atonement?,Christ died specifically for the elect,Christ's death has limits,Not everyone can be saved,Only some hear the gospel,Christ died specifically for the elect,John 10:15; Matthew 1:21,"Jesus gives His life for the sheep and saves His people from their sins."
Theology,expert,What does supralapsarianism teach?,God decreed election before the fall,God knew about sin beforehand,God planned creation perfectly,God ordained history,God decreed election before the fall,Romans 9:11,"God's purpose in election stood before the twins were born or had done good or evil."
Theology,expert,What is the doctrine of traducianismabout the soul's origin?,The soul is inherited from parents,God creates each soul individually,The soul pre-exists,The soul develops naturally,The soul is inherited from parents,Psalm 51:5,"Surely I was sinful at birth, sinful from the time my mother conceived me."
Theology,scholar,What is the difference between infralapsarianism and supralapsarianism?,Order of God's decrees,Timing of election,Nature of predestination,Extent of atonement,Order of God's decrees,Romans 9:11-23,"The logical order of God's eternal decrees regarding creation, fall, and election."
Theology,scholar,What does the doctrine of pactum salutis (covenant of redemption) teach?,The Trinity covenanted to save the elect,God made a covenant with Israel,Christ made a new covenant,The church has a covenant,The Trinity covenanted to save the elect,John 17:2-6; Ephesians 1:3-14,"An eternal covenant among the persons of the Trinity to accomplish redemption."
Quote,beginner,"Who said: 'I am the bread of life'?",Jesus,Paul,John,Peter,Jesus,John 6:35,"Then Jesus declared 'I am the bread of life. Whoever comes to me will never go hungry.'"
Quote,beginner,"Who said: 'The Lord is my shepherd'?",David,Moses,Isaiah,Solomon,David,Psalm 23:1,"The Lord is my shepherd, I lack nothing."
Quote,beginner,"Who said: 'Go and make disciples of all nations'?",Jesus,Paul,Peter,John,Jesus,Matthew 28:19,"Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit."
Quote,beginner,"What book contains: 'For God so loved the world'?",John,Matthew,Romans,Genesis,John,John 3:16,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life."
Quote,beginner,"Who said: 'Here I am! I stand at the door and knock'?",Jesus,John,Paul,James,Jesus,Revelation 3:20,"Here I am! I stand at the door and knock. If anyone hears my voice and opens the door, I will come in."
Quote,intermediate,"What book says: 'The fear of the Lord is the beginning of wisdom'?",Proverbs,Psalms,Ecclesiastes,Job,Proverbs,Proverbs 9:10,"The fear of the Lord is the beginning of wisdom, and knowledge of the Holy One is understanding."
Quote,intermediate,"Who said: 'I can do all this through him who gives me strength'?",Paul,Peter,James,Jesus,Paul,Philippians 4:13,"I can do all this through him who gives me strength."
Quote,intermediate,"What book contains: 'Trust in the Lord with all your heart'?",Proverbs,Psalms,Isaiah,Jeremiah,Proverbs,Proverbs 3:5,"Trust in the Lord with all your heart and lean not on your own understanding."
Quote,intermediate,"Who said: 'Am I my brother's keeper'?",Cain,Abel,Adam,Noah,Cain,Genesis 4:9,"Then the Lord said to Cain 'Where is your brother Abel?' 'I don't know' he replied. 'Am I my brother's keeper?'"
Quote,intermediate,"What book says: 'Be still and know that I am God'?",Psalms,Proverbs,Isaiah,Job,Psalms,Psalm 46:10,"He says 'Be still and know that I am God.'"
Quote,intermediate,"Who said: 'The harvest is plentiful but the workers are few'?",Jesus,Paul,John the Baptist,Peter,Jesus,Matthew 9:37,"Then he said to his disciples 'The harvest is plentiful but the workers are few.'"
Quote,intermediate,"What book contains: 'Train up a child in the way he should go'?",Proverbs,Deuteronomy,Psalms,Ephesians,Proverbs,Proverbs 22:6,"Start children off on the way they should go, and even when they are old they will not turn from it."
Quote,intermediate,"Who said: 'Get behind me Satan'?",Jesus,Peter,Paul,James,Jesus,Matthew 16:23,"Jesus turned and said to Peter 'Get behind me Satan! You are a stumbling block to me.'"
Quote,expert,"What book says: 'There is a time for everything'?",Ecclesiastes,Proverbs,Job,Psalms,Ecclesiastes,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens."
Quote,expert,"Who said: 'Though He slay me yet will I trust in Him'?",Job,David,Daniel,Abraham,Job,Job 13:15,"Though he slay me, yet will I hope in him."
Quote,expert,"What book contains: 'If my people who are called by my name will humble themselves'?",2 Chronicles,1 Kings,Isaiah,Jeremiah,2 Chronicles,2 Chronicles 7:14,"If my people who are called by my name will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven."
Quote,expert,"Who said: 'Your word is a lamp for my feet'?",The Psalmist,Solomon,Moses,David,The Psalmist,Psalm 119:105,"Your word is a lamp for my feet, a light on my path."
Quote,expert,"What book says: 'The Lord gave and the Lord has taken away'?",Job,Psalms,Ecclesiastes,Lamentations,Job,Job 1:21,"Naked I came from my mother's womb, and naked I will depart. The Lord gave and the Lord has taken away; may the name of the Lord be praised."
Quote,scholar,"Who said: 'Woe to me if I do not preach the gospel'?",Paul,Peter,John,Apollos,Paul,1 Corinthians 9:16,"Yet when I preach the gospel I cannot boast, since I am compelled to preach. Woe to me if I do not preach the gospel!"
Quote,scholar,"What book contains: 'Deep calls to deep'?",Psalms,Job,Proverbs,Song of Songs,Psalms,Psalm 42:7,"Deep calls to deep in the roar of your waterfalls; all your waves and breakers have swept over me."
